id,text,source,label,cleaned_text_1,cleaned_text_2
1,at 50 votes i will close this survey and take some new photos .... ;-),twitter,0,50 votes close survey take new photos,at 50 votes i will close this survey and take some new photos
2,"21st birthday and nearly 4 months pregnant, no regrets👶🏼💕",twitter,1,21st birthday nearly 4 months pregnant,21st birthday and nearly 4 months pregnant no
3,@_DudeThePie // I'd be killed. He's literally my 10th picture. https://t.co/d0fPgUtDmG,twitter,0,killed literally 10th picture https,i be killed he literally my 10th picture https
4,"This year I'm gonna become a mum and turn 20, waaaaah. 🙊☺️",twitter,1,year gon na become mum turn 20 waaaaah,this year i gon na become a mum and turn 20 waaaaah
5,Don't mind me. Just freaking out because Mary-Kate and Ashley Olsen turned 30. https://t.co/p3RbQJrM5N,twitter,0,mind freaking ashley olsen turned https,do mind me just freaking out because and ashley olsen turned https
6,I’ll be 20 tomorrow,twitter,1,20 tomorrow,i ll be 20 tomorrow
7,"@iamlegitdaily It’s not the age that counts even at 40 that question will play in your head it’s bank account https://t.co/jz6kaaYBFn much is available to invest.If you got enough,house is way better you will never regret.",twitter,0,age counts even 40 question play head bank account https much available got enough house way better never regret,it s not the age that counts even at 40 that question will play in your head it s bank account https much is available to you got enough house is way better you will never regret
8,HAPPY BIRTHDAY STIAN (stiandav )Your turning 14 dude.Happy birthday to you 🎶happy birthday to… https://t.co/yCp07gRSdX,twitter,0,happy birthday stian stiandav turning 14 birthday birthday https,happy birthday stian stiandav your turning 14 birthday to you birthday https
9,@MB_StayGOOD @Mrs_OctoburrrJB They are 12 years old tho.. will they still take them?,twitter,0,12 years old tho still take,they are 12 years old tho will they still take them
10,In my 22 years of life I have never seen my dad clean.... He's cleaning now. I'm scared y'all,twitter,1,22 years life never seen dad clean cleaning scared,in my 22 years of life i have never seen my dad clean he cleaning now i scared
11,Canada teen wins $1000 a week for life on 18th birthday https://t.co/7w7Pm1z0lB,twitter,0,canada teen wins 1000 week life 18th birthday https,canada teen wins 1000 a week for life on 18th birthday https
12,@AshMoLash5 Girl... I’m already on this mood at this point &amp; my 29th bday is in November. 🙃🙃🙃,twitter,1,girl already mood point amp 29th bday november,girl i m already on this mood at this point amp my 29th bday is in november
13,Went to get 11yo’s hair cut at hubby’s hair cutting place. He gave me the address. There were three hair cutters at the address.,twitter,0,went get 11yo hair cut hubby hair cutting place gave address three hair cutters address,went to get 11yo s hair cut at hubby s hair cutting place he gave me the address there were three hair cutters at the address
14,Asked @SusanCredle for her 3 favorite ads. She saw one of them at 14 years old watching Star Search. https://t.co/ULZNO1fqm2 #BestAdsEver https://t.co/MAp3PClwU0,twitter,0,asked 3 favorite ads saw one 14 years old watching star search https bestadsever https,asked for her 3 favorite ads she saw one of them at 14 years old watching star search https bestadsever https
15,@thulasindi Cause I thought I was the only 1 hitting 70 years old 😂,twitter,0,cause thought 1 hitting 70 years old,cause i thought i was the only 1 hitting 70 years old
16,"My 38th 🎂 today. I produced 7 features in the last 12 years all while working at the mall. I’m BROKE and TIRED. But dammit, I still intend to find the will to bring these to life:A Ghost FilmA Werewolf FilmA Kids Horror FilmChristmas Horror &amp; MOREThere’s still time. https://t.co/nmhXnbZCPf",twitter,1,38th today produced 7 features last 12 years working mall broke tired dammit still intend find bring life ghost filma werewolf filma kids horror filmchristmas horror amp morethere still time https,my 38th today i produced 7 features in the last 12 years all while working at the mall i m broke and tired but dammit i still intend to find the will to bring these to life a ghost filma werewolf filma kids horror filmchristmas horror amp morethere s still time https
17,@ticketqueen67 I did it in 2012. Amazing experience. All booked for this year now but only half moon. Walking with my 13yo son!,twitter,0,amazing experience booked year half moon walking 13yo son,i did it in amazing experience all booked for this year now but only half moon walking with my 13yo son
18,such a high level of comfort knowing that even at 20 years old i can still sleep in my moms bed on rough/sad nights,twitter,1,high level comfort knowing even 20 years old still sleep moms bed nights,such a high level of comfort knowing that even at 20 years old i can still sleep in my moms bed on nights
