"id","text","source","label"
1,"at 50 votes i will close this survey and take some new photos .... ;-)","twitter",0
2,"21st birthday and nearly 4 months pregnant, no regrets👶🏼💕","twitter",1
3,"@_DudeThePie // I'd be killed. He's literally my 10th picture. https://t.co/d0fPgUtDmG","twitter",0
4,"This year I'm gonna become a mum and turn 20, waaaaah. 🙊☺️","twitter",1
5,"Don't mind me. Just freaking out because Mary-Kate and Ashley Olsen turned 30. https://t.co/p3RbQJrM5N","twitter",0
6,"I’ll be 20 tomorrow","twitter",1
7,"@iamlegitdaily It’s not the age that counts even at 40 that question will play in your head it’s bank account https://t.co/jz6kaaYBFn much is available to invest.If you got enough,house is way better you will never regret.","twitter",0
8,"HAPPY BIRTHDAY STIAN (stiandav )Your turning 14 dude.Happy birthday to you 🎶happy birthday to… https://t.co/yCp07gRSdX","twitter",0
9,"@MB_StayGOOD @Mrs_OctoburrrJB They are 12 years old tho.. will they still take them?","twitter",0
10,"In my 22 years of life I have never seen my dad clean.... He's cleaning now. I'm scared y'all","twitter",1
11,"Canada teen wins $1000 a week for life on 18th birthday https://t.co/7w7Pm1z0lB","twitter",0
12,"@AshMoLash5 Girl... I’m already on this mood at this point &amp; my 29th bday is in November. 🙃🙃🙃","twitter",1
13,"Went to get 11yo’s hair cut at hubby’s hair cutting place. He gave me the address. There were three hair cutters at the address.","twitter",0
14,"Asked @SusanCredle for her 3 favorite ads. She saw one of them at 14 years old watching Star Search. https://t.co/ULZNO1fqm2 #BestAdsEver https://t.co/MAp3PClwU0","twitter",0
15,"@thulasindi Cause I thought I was the only 1 hitting 70 years old 😂","twitter",0
16,"My 38th 🎂 today. I produced 7 features in the last 12 years all while working at the mall. I’m BROKE and TIRED. But dammit, I still intend to find the will to bring these to life:A Ghost FilmA Werewolf FilmA Kids Horror FilmChristmas Horror &amp; MOREThere’s still time. https://t.co/nmhXnbZCPf","twitter",1
17,"@ticketqueen67 I did it in 2012. Amazing experience. All booked for this year now but only half moon. Walking with my 13yo son!","twitter",0
18,"such a high level of comfort knowing that even at 20 years old i can still sleep in my moms bed on rough/sad nights","twitter",1
19,"@fayeisaband @cyancais @pulloverrrr @GameBreax @OmegaSparx @SWATS_GBX At 16, most folks are still learning how to play. Charlotte's @abbykonbass is already playing gigs with @hurricanenita and was one of just three bassists in the U.S. selected to attend GRAMMY Camp. Joke's on the band that didn't let her in. #2019MusicIssue https://t.co/9yUCNgPX9p","twitter",0
20,"EVERY family I know has been affected by opioid addiction. My 73 y/o mom. @1200CreativeInn @realDonaldTrump","twitter",0
21,"So who’s sending me $10 for my birthday? LIKKKKEEEEEE, it’s only $10. I’m just trynna have a drink or two on Wednesday. C’mon.  #cashapp #PayPal  #applepay your choice b. #birthdaywishes","twitter",0
22,"@SilverStarBack @Radiofunker210 I has my kid at 16, dudes like him are the same ones bashing women for having kids… https://t.co/dyxzqmTvBC","twitter",0
23,"ive been sexualized since the age of 13. i chose to embrace it, others don’t.    i, nor anyone else, should’ve never been given that choice especially at 13.","twitter",0
24,"@DukoShannon You are my hero!!!!! I am 18 years old and have an 8 month old daughter!!!!! You and mckayla are so awesome!!!!!! You and mckayla are such an inspiration to me!!!!! I have been watching mckayla since her first video announcing she was pregnant!!!!!! I love you guys so much!!!!","twitter",1
25,"Heads up @DrouthyCobbler, @CharisEdweeeeee &amp; I are in later to critique your French martinis &amp; celebrate 🎉 30th birthdays","twitter",0
26,"Hoe gone be 40 years old still saying poopoo 😒","twitter",0
27,"Still scared of Hocus pocus at 20 years old 🙈... #hidingbehindbill","twitter",1
28,"Today marks 100 years of #votesforwomen (over the age of 30).To celebrate this historic event we've made a short film on two remarkable #suffragettes (see the snippet below) and curated a range of resources on women's history. Take a look...https://t.co/QcsDwrTVP1#Vote100 https://t.co/AVEvkNTwki","twitter",0
